id,name,website,phone,email,address,city,state,zipCode,facebook,twitter,linkedin,instagram,youtube,tiktok,pinterest,yelp,bbb,googleBusiness,nextdoor,energySage,solarReviews
00000000-0000-0000-0000-000000000001,,,,,,,,,,,,,,,,,,,,,
00145420-3bbe-2b3e-62c4-3419e0f641ab,BTA Solar,https://www.btasolar.com/,209-224-4947,richr@btasolar.com,,Stockton,CA,95215,,,,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJf73GDF9tkIARDAavikWrYFc,,,
0016ae38-4fc0-c822-6d49-d48e59408b85,Quicken Solar,https://quickensolar.com/,432-967-8618,info@quickensolar.com,"1225 W College Ave, Suite 428",Carrollton,TX,75006,https://www.facebook.com/Quicken-Solar-116061294438595/,,,https://www.instagram.com/quickensolar/,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJN4vZCsQnTIYRCtKUWqITyjs,,,
001995d9-9ded-ff10-aff3-42dd56905942,CW Electric,http://www.cwelectrical.com/,530-872-3443 | 530-343-4476 | 530-872-3444,admin@cwelectrical.com,55 Tuscan Dr,Paradise,CA,95969,null,null,null,null,null,null,,null,null,https://maps.app.goo.gl/QN43KvHBRKPK7fLS8,null,,
0021e88f-1483-b079-d159-70f100e22bb7,Custom Solar and Leisure,https://customsolarandleisure.com/,(520) 247-3060,jshoemaker@customsolarandleisure.com,3941 East 29th Street #601,Tucson,AZ,85711,,,,,https://www.youtube.com/channel/UCEb7SyblXY2CifzVX2II8rA,,,,,https://www.google.com/maps/place/?q=place_id:ChIJHfD_Vh9u1oYRo3swE8j6-Oc,,,
00250be4-e57f-8870-f205-40444e11ff2a,Phoenix Roofing & Solar,https://phoenix-constgroup.com/,(209) 465-4377,,2291 W March Ln Suite D 215,Stockton,CA,95207,https://facebook.com/phoenixconstgroup/,,https://linkedin.com/company/phoenix-roofing-solar,https://instagram.com/phoenixroofingandsolar/,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJEzHRG7ISkIARwoQm9HshjQE,,,
002984e2-d82d-1098-5413-dbc9c0979cd8,"IES Residential, Inc.",https://www.iesresidentialinc.com/,800-847-5778 | 281-498-2212,,13131 Dairy Ashford Rd #700,Sugar Land,TX,77478,https://www.facebook.com/iesresidential,,https://www.linkedin.com/company/iesresidential,https://www.instagram.com/iesresidential/,https://www.youtube.com/@iesresidential,https://www.tiktok.com/@iesresidential,,,,https://www.google.com/maps/place/?q=place_id:ChIJVcuJCXvoQIYRda8cndNRF68,,,
0034d325-faed-52fa-d4e6-d9d5efbf045f,Mālama Solar,https://malamasolar.com/,808-425-9566,Support@malamasolar.com,"111 Sand Island Access Road, Suite I-1",Honolulu,HI,96819,http://www.facebook.com/malamasolar,https://twitter.com/MalamaSolar,https://www.linkedin.com/company/malamasolar/about/,http://instagram.com/malamasolar,https://www.youtube.com/channel/UCedy-lzuDCrsz82Cw_PF-VA,,,,,https://www.google.com/maps/place/?q=place_id:ChIJKcU1jfxtAHwRcZ2AE4ebAbc,,,
0040a58c-eb6d-5a85-6504-e1187a91662d,VIA Energy Solutions,http://viaenergysolutions.com/,1-866-531-6002 | 346-326-5737 | 346-589-6442,info@viaenergysolutions.com,12140 Wickchester Ln. Ste 100,Houston,TX,77079,,,https://www.linkedin.com/company/via-energy-solutions,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJAXNuTg3bQIYRpLDuoGxZ7xc,,,
00459952-29b7-c27b-05aa-ed65e59d72c4,Modern Mechanical,https://www.modernmec.com/,571-421-1888,,21730 Red Rum Drive Suite 182,Ashburn,VA,20147,https://www.facebook.com/modernmec,https://twitter.com/modernmec,,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJjSug2cc_tokRnO_AKRHqbqc,,,
005c3110-c85b-f7e8-307a-9cae7b1eac7c,All American Exterior Solutions,https://www.aaexs.com/,847-438-4131 | 888-832-2726 | 847-438-1387,bids@aaexs.com,150 Oakwood Rd,Lake Zurich,IL,60047,https://www.facebook.com/AllAmericanExteriorSolutions/?fref=ts,,,,,,,,https://www.bbb.org/us/il/lake-zurich/profile/roofing-contractors/all-american-exterior-solutions-0654-47000072/#sealclick,https://www.google.com/maps/place/?q=place_id:ChIJSxt2cRWiD4gRQ4wEE68FCMI,,,
005e4fcf-39f1-6e33-41c5-7912180eb957,Infratech Global,https://www.infratechglobal.com/,+14048369908,info@infratechglobal.com,"3379 Peachtree, Suite 756",Atlanta,GA,30326,,,,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJVVWFvldL9IgRqug1Byk_8Uc,,,
0067a15e-fbce-d9b5-7d5a-be835a58c128,Allstars Electrical,https://allstarselectrical.com/,,,10 Dockerel Road,Vernon,CT,06066,https://www.facebook.com/allstarselectrical/,,,,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJA86-UQj25okRUbu1VOcGMQk,,,
006affe6-ee81-14af-10c9-8097cb9e91fe,Merica Solar Panels,https://mericasolarpanelsbridgeportct.com/,475-288-9766,info@mericasolarpanelsbridgeportct.com,955 Connecticut Ave #33,Bridgeport,CT,06607,,,,,,,,,,,,,
